index 1;index 2;index 3;index 4;index 5;index 6;index 7;index 8;index 9
['III', 'IIZ', 'IZI', 'IZZ', 'ZII', 'ZIZ', 'ZZI', 'ZZZ'];['III', 'IIX', 'IXI', 'IXX', 'XII', 'XIX', 'XXI', 'XXX'];['III', 'ZIX', 'IYI', 'ZYX', 'XIZ', 'YIY', 'XYZ', 'YYY'];['III', 'IIY', 'ZYI', 'ZYY', 'XZI', 'XZY', 'YXI', 'YXY'];['III', 'ZIY', 'ZXI', 'IXY', 'XZZ', 'YZX', 'YYZ', 'XYX'];['III', 'IZY', 'IXZ', 'IYX', 'YII', 'YZY', 'YXZ', 'YYX'];['III', 'ZZY', 'IYZ', 'ZXX', 'YIZ', 'XZX', 'YYI', 'XXY'];['III', 'IZX', 'ZYZ', 'ZXY', 'YZI', 'YIX', 'XXZ', 'XYY'];['III', 'ZZX', 'ZXZ', 'IYY', 'YZZ', 'XIY', 'XYI', 'YXX']
['III', 'XII', 'IIZ', 'XIZ', 'IZI', 'XZI', 'IZZ', 'XZZ'];['III', 'ZII', 'IIX', 'ZIX', 'IXI', 'ZXI', 'IXX', 'ZXX'];['III', 'ZZI', 'IIY', 'ZZY', 'XXI', 'YYI', 'XXY', 'YYY'];['III', 'YII', 'IZY', 'YZY', 'IXZ', 'YXZ', 'IYX', 'YYX'];['III', 'YZI', 'IZX', 'YIX', 'XXZ', 'ZYZ', 'XYY', 'ZXY'];['III', 'YIZ', 'XIX', 'ZIY', 'IYI', 'YYZ', 'XYX', 'ZYY'];['III', 'YZZ', 'XIY', 'ZZX', 'XYI', 'ZXZ', 'IYY', 'YXX'];['III', 'ZIZ', 'XZY', 'YZX', 'IYZ', 'ZYI', 'XXX', 'YXY'];['III', 'ZZZ', 'XZX', 'YIY', 'XYZ', 'YXI', 'IXY', 'ZYX']
['III', 'IXI', 'XII', 'XXI', 'IIZ', 'IXZ', 'XIZ', 'XXZ'];['III', 'IZI', 'ZII', 'ZZI', 'IIX', 'IZX', 'ZIX', 'ZZX'];['III', 'IZZ', 'YII', 'YZZ', 'IXX', 'IYY', 'YXX', 'YYY'];['III', 'IYI', 'YIZ', 'YYZ', 'XIX', 'XYX', 'ZIY', 'ZYY'];['III', 'IYZ', 'ZIZ', 'ZYI', 'XXX', 'XZY', 'YXY', 'YZX'];['III', 'XYI', 'ZXI', 'YZI', 'IIY', 'XYY', 'ZXY', 'YZY'];['III', 'XYZ', 'YXI', 'ZZZ', 'IXY', 'XZX', 'YIY', 'ZYX'];['III', 'XZI', 'YXZ', 'ZYZ', 'XIY', 'IZY', 'ZXX', 'YYX'];['III', 'XZZ', 'ZXZ', 'YYI', 'XXY', 'IYX', 'YIX', 'ZZY']
['III', 'IIX', 'IXI', 'IXX', 'XII', 'XIX', 'XXI', 'XXX'];['III', 'IIZ', 'IZI', 'IZZ', 'ZII', 'ZIZ', 'ZZI', 'ZZZ'];['III', 'XIZ', 'IYI', 'XYZ', 'ZIX', 'YIY', 'ZYX', 'YYY'];['III', 'IIY', 'XYI', 'XYY', 'ZXI', 'ZXY', 'YZI', 'YZY'];['III', 'XIY', 'XZI', 'IZY', 'ZXX', 'YXZ', 'YYX', 'ZYZ'];['III', 'IXY', 'IZX', 'IYZ', 'YII', 'YXY', 'YZX', 'YYZ'];['III', 'XXY', 'IYX', 'XZZ', 'YIX', 'ZXZ', 'YYI', 'ZZY'];['III', 'IXZ', 'XYX', 'XZY', 'YXI', 'YIZ', 'ZZX', 'ZYY'];['III', 'XXZ', 'XZX', 'IYY', 'YXX', 'ZIY', 'ZYI', 'YZZ']
['III', 'ZII', 'IIX', 'ZIX', 'IXI', 'ZXI', 'IXX', 'ZXX'];['III', 'XII', 'IIZ', 'XIZ', 'IZI', 'XZI', 'IZZ', 'XZZ'];['III', 'XXI', 'IIY', 'XXY', 'ZZI', 'YYI', 'ZZY', 'YYY'];['III', 'YII', 'IXY', 'YXY', 'IZX', 'YZX', 'IYZ', 'YYZ'];['III', 'YXI', 'IXZ', 'YIZ', 'ZZX', 'XYX', 'ZYY', 'XZY'];['III', 'YIX', 'ZIZ', 'XIY', 'IYI', 'YYX', 'ZYZ', 'XYY'];['III', 'YXX', 'ZIY', 'XXZ', 'ZYI', 'XZX', 'IYY', 'YZZ'];['III', 'XIX', 'ZXY', 'YXZ', 'IYX', 'XYI', 'ZZZ', 'YZY'];['III', 'XXX', 'ZXZ', 'YIY', 'ZYX', 'YZI', 'IZY', 'XYZ']
['III', 'IZI', 'ZII', 'ZZI', 'IIX', 'IZX', 'ZIX', 'ZZX'];['III', 'IXI', 'XII', 'XXI', 'IIZ', 'IXZ', 'XIZ', 'XXZ'];['III', 'IXX', 'YII', 'YXX', 'IZZ', 'IYY', 'YZZ', 'YYY'];['III', 'IYI', 'YIX', 'YYX', 'ZIZ', 'ZYZ', 'XIY', 'XYY'];['III', 'IYX', 'XIX', 'XYI', 'ZZZ', 'ZXY', 'YZY', 'YXZ'];['III', 'ZYI', 'XZI', 'YXI', 'IIY', 'ZYY', 'XZY', 'YXY'];['III', 'ZYX', 'YZI', 'XXX', 'IZY', 'ZXZ', 'YIY', 'XYZ'];['III', 'ZXI', 'YZX', 'XYX', 'ZIY', 'IXY', 'XZZ', 'YYZ'];['III', 'ZXX', 'XZX', 'YYI', 'ZZY', 'IYZ', 'YIZ', 'XXY']
['III', 'IIZ', 'IZI', 'IZZ', 'ZII', 'ZIZ', 'ZZI', 'ZZZ'];['III', 'IIX', 'IXI', 'IXX', 'XII', 'XIX', 'XXI', 'XXX'];['III', 'ZIY', 'IYI', 'ZYY', 'XIZ', 'YIX', 'XYZ', 'YYX'];['III', 'IIY', 'ZXI', 'ZXY', 'XZI', 'XZY', 'YYI', 'YYY'];['III', 'ZIX', 'ZYI', 'IYX', 'XZZ', 'YZY', 'YXZ', 'XXY'];['III', 'IZX', 'IYZ', 'IXY', 'YII', 'YZX', 'YYZ', 'YXY'];['III', 'ZZY', 'IXZ', 'ZYX', 'YIZ', 'XZX', 'YXI', 'XYY'];['III', 'IZY', 'ZYZ', 'ZXX', 'YZI', 'YIY', 'XXZ', 'XYX'];['III', 'ZZX', 'ZXZ', 'IYY', 'YZZ', 'XIY', 'XYI', 'YXX']
['III', 'XII', 'IIZ', 'XIZ', 'IZI', 'XZI', 'IZZ', 'XZZ'];['III', 'ZII', 'IIX', 'ZIX', 'IXI', 'ZXI', 'IXX', 'ZXX'];['III', 'YZI', 'IIY', 'YZY', 'XXI', 'ZYI', 'XXY', 'ZYY'];['III', 'YII', 'IZX', 'YZX', 'IXZ', 'YXZ', 'IYY', 'YYY'];['III', 'ZZI', 'IZY', 'ZIY', 'XXZ', 'YYZ', 'XYX', 'YXX'];['III', 'ZIZ', 'XIY', 'YIX', 'IYI', 'ZYZ', 'XYY', 'YYX'];['III', 'YZZ', 'XIX', 'ZZY', 'XYI', 'ZXZ', 'IYX', 'YXY'];['III', 'YIZ', 'XZY', 'ZZX', 'IYZ', 'YYI', 'XXX', 'ZXY'];['III', 'ZZZ', 'XZX', 'YIY', 'XYZ', 'YXI', 'IXY', 'ZYX']
['III', 'IXI', 'XII', 'XXI', 'IIZ', 'IXZ', 'XIZ', 'XXZ'];['III', 'IZI', 'ZII', 'ZZI', 'IIX', 'IZX', 'ZIX', 'ZZX'];['III', 'IYZ', 'YII', 'YYZ', 'IXX', 'IZY', 'YXX', 'YZY'];['III', 'IYI', 'ZIZ', 'ZYZ', 'XIX', 'XYX', 'YIY', 'YYY'];['III', 'IZZ', 'YIZ', 'YZI', 'XXX', 'XYY', 'ZXY', 'ZYX'];['III', 'XZI', 'YXI', 'ZYI', 'IIY', 'XZY', 'YXY', 'ZYY'];['III', 'XYZ', 'ZXI', 'YZZ', 'IXY', 'XZX', 'ZIY', 'YYX'];['III', 'XYI', 'YXZ', 'ZZZ', 'XIY', 'IYY', 'ZXX', 'YZX'];['III', 'XZZ', 'ZXZ', 'YYI', 'XXY', 'IYX', 'YIX', 'ZZY']
['III', 'IIX', 'IXI', 'IXX', 'XII', 'XIX', 'XXI', 'XXX'];['III', 'IIZ', 'IZI', 'IZZ', 'ZII', 'ZIZ', 'ZZI', 'ZZZ'];['III', 'XIY', 'IYI', 'XYY', 'ZIX', 'YIZ', 'ZYX', 'YYZ'];['III', 'IIY', 'XZI', 'XZY', 'ZXI', 'ZXY', 'YYI', 'YYY'];['III', 'XIZ', 'XYI', 'IYZ', 'ZXX', 'YXY', 'YZX', 'ZZY'];['III', 'IXZ', 'IYX', 'IZY', 'YII', 'YXZ', 'YYX', 'YZY'];['III', 'XXY', 'IZX', 'XYZ', 'YIX', 'ZXZ', 'YZI', 'ZYY'];['III', 'IXY', 'XYX', 'XZZ', 'YXI', 'YIY', 'ZZX', 'ZYZ'];['III', 'XXZ', 'XZX', 'IYY', 'YXX', 'ZIY', 'ZYI', 'YZZ']
['III', 'ZII', 'IIX', 'ZIX', 'IXI', 'ZXI', 'IXX', 'ZXX'];['III', 'XII', 'IIZ', 'XIZ', 'IZI', 'XZI', 'IZZ', 'XZZ'];['III', 'YXI', 'IIY', 'YXY', 'ZZI', 'XYI', 'ZZY', 'XYY'];['III', 'YII', 'IXZ', 'YXZ', 'IZX', 'YZX', 'IYY', 'YYY'];['III', 'XXI', 'IXY', 'XIY', 'ZZX', 'YYX', 'ZYZ', 'YZZ'];['III', 'XIX', 'ZIY', 'YIZ', 'IYI', 'XYX', 'ZYY', 'YYZ'];['III', 'YXX', 'ZIZ', 'XXY', 'ZYI', 'XZX', 'IYZ', 'YZY'];['III', 'YIX', 'ZXY', 'XXZ', 'IYX', 'YYI', 'ZZZ', 'XZY'];['III', 'XXX', 'ZXZ', 'YIY', 'ZYX', 'YZI', 'IZY', 'XYZ']
['III', 'IZI', 'ZII', 'ZZI', 'IIX', 'IZX', 'ZIX', 'ZZX'];['III', 'IXI', 'XII', 'XXI', 'IIZ', 'IXZ', 'XIZ', 'XXZ'];['III', 'IYX', 'YII', 'YYX', 'IZZ', 'IXY', 'YZZ', 'YXY'];['III', 'IYI', 'XIX', 'XYX', 'ZIZ', 'ZYZ', 'YIY', 'YYY'];['III', 'IXX', 'YIX', 'YXI', 'ZZZ', 'ZYY', 'XZY', 'XYZ'];['III', 'ZXI', 'YZI', 'XYI', 'IIY', 'ZXY', 'YZY', 'XYY'];['III', 'ZYX', 'XZI', 'YXX', 'IZY', 'ZXZ', 'XIY', 'YYZ'];['III', 'ZYI', 'YZX', 'XXX', 'ZIY', 'IYY', 'XZZ', 'YXZ'];['III', 'ZXX', 'XZX', 'YYI', 'ZZY', 'IYZ', 'YIZ', 'XXY']
